skill,hand,limit,balance
expert,bad,fixed,4.0
expert,bad,fixed,5.55
expert,bad,fixed,9.45
expert,bad,fixed,7.19
expert,bad,fixed,5.71
expert,bad,fixed,5.32
expert,bad,fixed,8.52
expert,bad,fixed,4.06
expert,bad,fixed,4.97
expert,bad,fixed,6.18
expert,bad,fixed,6.55
expert,bad,fixed,9.73
expert,bad,fixed,10.8
expert,bad,fixed,2.07
expert,bad,fixed,8.69
expert,bad,fixed,8.47
expert,bad,fixed,7.0
expert,bad,fixed,10.67
expert,bad,fixed,11.04
expert,bad,fixed,10.41
expert,bad,fixed,10.05
expert,bad,fixed,2.92
expert,bad,fixed,8.39
expert,bad,fixed,8.36
expert,bad,fixed,7.13
expert,bad,no-limit,5.52
expert,bad,no-limit,8.28
expert,bad,no-limit,0.27
expert,bad,no-limit,11.49
expert,bad,no-limit,4.68
expert,bad,no-limit,12.22
expert,bad,no-limit,6.24
expert,bad,no-limit,5.1
expert,bad,no-limit,3.76
expert,bad,no-limit,1.0
expert,bad,no-limit,9.52
expert,bad,no-limit,6.42
expert,bad,no-limit,6.81
expert,bad,no-limit,8.09
expert,bad,no-limit,1.56
expert,bad,no-limit,3.82
expert,bad,no-limit,5.77
expert,bad,no-limit,3.14
expert,bad,no-limit,12.01
expert,bad,no-limit,11.66
expert,bad,no-limit,12.06
expert,bad,no-limit,9.45
expert,bad,no-limit,10.34
expert,bad,no-limit,5.7
expert,bad,no-limit,16.68
expert,neutral,fixed,11.74
expert,neutral,fixed,10.04
expert,neutral,fixed,9.49
expert,neutral,fixed,8.33
expert,neutral,fixed,6.2
expert,neutral,fixed,11.45
expert,neutral,fixed,11.99
expert,neutral,fixed,9.37
expert,neutral,fixed,13.08
expert,neutral,fixed,15.3
expert,neutral,fixed,10.73
expert,neutral,fixed,13.35
expert,neutral,fixed,7.79
expert,neutral,fixed,12.29
expert,neutral,fixed,11.56
expert,neutral,fixed,9.51
expert,neutral,fixed,8.85
expert,neutral,fixed,6.06
expert,neutral,fixed,6.76
expert,neutral,fixed,9.28
expert,neutral,fixed,9.24
expert,neutral,fixed,6.17
expert,neutral,fixed,10.8
expert,neutral,fixed,5.68
expert,neutral,fixed,11.19
expert,neutral,no-limit,21.55
expert,neutral,no-limit,3.12
expert,neutral,no-limit,7.64
expert,neutral,no-limit,18.73
expert,neutral,no-limit,14.15
expert,neutral,no-limit,9.1
expert,neutral,no-limit,7.61
expert,neutral,no-limit,9.15
expert,neutral,no-limit,14.53
expert,neutral,no-limit,11.14
expert,neutral,no-limit,8.38
expert,neutral,no-limit,20.89
expert,neutral,no-limit,6.94
expert,neutral,no-limit,25.63
expert,neutral,no-limit,13.29
expert,neutral,no-limit,12.21
expert,neutral,no-limit,13.5
expert,neutral,no-limit,14.91
expert,neutral,no-limit,16.76
expert,neutral,no-limit,0.39
expert,neutral,no-limit,8.21
expert,neutral,no-limit,8.31
expert,neutral,no-limit,8.67
expert,neutral,no-limit,11.71
expert,neutral,no-limit,9.7
expert,good,fixed,10.86
expert,good,fixed,8.68
expert,good,fixed,14.36
expert,good,fixed,9.66
expert,good,fixed,10.08
expert,good,fixed,12.37
expert,good,fixed,6.24
expert,good,fixed,13.45
expert,good,fixed,14.8
expert,good,fixed,10.45
expert,good,fixed,14.28
expert,good,fixed,15.84
expert,good,fixed,14.12
expert,good,fixed,11.29
expert,good,fixed,11.09
expert,good,fixed,14.58
expert,good,fixed,13.01
expert,good,fixed,8.91
expert,good,fixed,12.21
expert,good,fixed,13.61
expert,good,fixed,13.16
expert,good,fixed,11.7
expert,good,fixed,14.54
expert,good,fixed,13.13
expert,good,fixed,10.56
expert,good,no-limit,9.07
expert,good,no-limit,26.99
expert,good,no-limit,8.76
expert,good,no-limit,21.36
expert,good,no-limit,15.19
expert,good,no-limit,15.33
